date,description,amount,type,source,account,category,merchant
2025-01-01,UPI/Swiggy/Food Order,224.04,debit,UPI,HDFC Savings,Food & Dining,Swiggy
2025-01-01,UPI/EasyPark/Parking Fee,73.51,debit,UPI,HDFC Savings,Miscellaneous,EasyPark
2025-01-01,UPI/McDonald's/Order,210.16,debit,UPI,HDFC Savings,Food & Dining,McDonald's
2025-01-01,UPI/Ola/Order,329.95,debit,UPI,HDFC Savings,Travel,Ola
2025-01-01,UPI/Cafe Coffee Day/Order,108.39,debit,UPI,SBI Savings,Food & Dining,Cafe Coffee Day
2025-01-01,UPI/HP Petrol Pump/Purchase,510.6,debit,UPI,SBI Savings,Miscellaneous,HP Petrol Pump
2025-01-01,UPI/Zomato/Quick Pay,337.83,debit,UPI,SBI Savings,Food & Dining,Zomato
2025-01-01,UPI/KFC/Order,419.93,debit,UPI,HDFC Savings,Food & Dining,KFC
2025-01-01,UPI/Rapido/Pay,71.27,debit,UPI,SBI Savings,Travel,Rapido
2025-01-01,UPI/Big Basket/Quick Pay,590.98,debit,UPI,HDFC Savings,Groceries,Big Basket
2025-01-01,UPI/UPI Misc 1/Pay,79.73,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 1
2025-01-01,UPI/Haldiram's/Quick Pay,158.01,debit,UPI,HDFC Savings,Food & Dining,Haldiram's
2025-01-01,UPI/Spencer's/Order,397.86,debit,UPI,HDFC Savings,Groceries,Spencer's
2025-01-01,UPI/Namma Yatri/Order,273.11,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-02,Rent Payment - Prestige Residency,22000.0,debit,NEFT,HDFC Savings,Rent,Prestige Residency
2025-01-02,UPI/Reliance Fresh/Grocery,954.87,debit,UPI,HDFC Savings,Groceries,Reliance Fresh
2025-01-02,UPI/Pay/Pooja N,1454.18,debit,UPI,SBI Savings,Transfers,Pooja N
2025-01-02,UPI/Uber/Quick Pay,153.95,debit,UPI,HDFC Savings,Travel,Uber
2025-01-02,UPI/HP Petrol Pump/Quick Pay,1104.02,debit,UPI,SBI Savings,Miscellaneous,HP Petrol Pump
2025-01-03,Salary Credit - TechCorp Solutions Pvt Ltd,200000.0,credit,NEFT,HDFC Savings,Salary,TechCorp Solutions
2025-01-03,UPI/Zomato/Food Order,408.96,debit,UPI,SBI Savings,Food & Dining,Zomato
2025-01-03,UPI/Uber/Ride,247.71,debit,UPI,SBI Savings,Travel,Uber
2025-01-03,Bill/Jio Broadband,936.2,debit,UPI,HDFC Savings,Utilities,Jio Broadband
2025-01-03,UPI/Pay/Rahul S,1256.07,debit,UPI,HDFC Savings,Transfers,Rahul S
2025-01-03,UPI/UPI Misc 0/Order,153.1,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 0
2025-01-03,UPI/Namma Yatri/Pay,229.14,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-03,UPI/Domino's/Order,689.91,debit,UPI,SBI Savings,Food & Dining,Domino's
2025-01-03,UPI/Rapido/Quick Pay,136.82,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-03,UPI/Domino's/Quick Pay,464.31,debit,UPI,SBI Savings,Food & Dining,Domino's
2025-01-04,UPI/BMTC/Bus Ticket,47.14,debit,UPI,HDFC Savings,Travel,BMTC
2025-01-04,UPI/BMTC/Bus Ticket,51.63,debit,UPI,SBI Savings,Travel,BMTC
2025-01-04,UPI/Pay/Sneha R,1129.65,debit,UPI,SBI Savings,Transfers,Sneha R
2025-01-04,UPI/Pay/Pooja N,645.67,debit,UPI,SBI Savings,Transfers,Pooja N
2025-01-04,UPI/Pay/Vikram M,887.98,debit,UPI,HDFC Savings,Transfers,Vikram M
2025-01-04,UPI/Blinkit/Quick Pay,551.84,debit,UPI,SBI Savings,Food & Dining,Blinkit
2025-01-04,UPI/Ola/Quick Pay,172.79,debit,UPI,HDFC Savings,Travel,Ola
2025-01-04,UPI/Namma Yatri/Quick Pay,282.79,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-04,UPI/BPCL/Pay,1646.03,debit,UPI,HDFC Savings,Miscellaneous,BPCL
2025-01-05,Home Loan EMI - HDFC Bank HL2023,18450.0,debit,EMI,HDFC Savings,EMI,HDFC Bank
2025-01-05,Subscription/Netflix,649.0,debit,Credit Card,HDFC Credit Card,Entertainment,Netflix
2025-01-05,UPI/Subway/Quick Pay,105.8,debit,UPI,HDFC Savings,Food & Dining,Subway
2025-01-05,UPI/Shell/Quick Pay,2945.21,debit,UPI,SBI Savings,Miscellaneous,Shell
2025-01-05,UPI/Ola/Order,525.28,debit,UPI,HDFC Savings,Travel,Ola
2025-01-05,UPI/Starbucks/Purchase,592.13,debit,UPI,HDFC Savings,Food & Dining,Starbucks
2025-01-06,UPI/Nature's Basket/Grocery,2454.79,debit,UPI,HDFC Savings,Groceries,Nature's Basket
2025-01-06,UPI/Received/Rahul S,619.21,credit,UPI,SBI Savings,Transfers,Rahul S
2025-01-06,UPI/Ola/Purchase,73.98,debit,UPI,SBI Savings,Travel,Ola
2025-01-06,UPI/UPI Misc 2/Pay,180.76,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 2
2025-01-06,UPI/Rapido/Quick Pay,73.82,debit,UPI,SBI Savings,Travel,Rapido
2025-01-06,UPI/HP Petrol Pump/Quick Pay,1148.5,debit,UPI,SBI Savings,Miscellaneous,HP Petrol Pump
2025-01-06,UPI/Namma Yatri/Purchase,95.82,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-07,SIP - Axis Bluechip Fund,3000.0,debit,SIP,HDFC Savings,Investments,Axis Bluechip Fund
2025-01-07,SIP - Mirae Asset ELSS,2000.0,debit,SIP,HDFC Savings,Investments,Mirae Asset ELSS
2025-01-07,SIP - Parag Parikh Flexi,5000.0,debit,SIP,HDFC Savings,Investments,Parag Parikh Flexi Cap
2025-01-07,UPI/Swiggy Instamart/Food Order,874.33,debit,UPI,SBI Savings,Food & Dining,Swiggy Instamart
2025-01-07,UPI/Dunzo/Quick Bite,152.03,debit,UPI,HDFC Savings,Food & Dining,Dunzo
2025-01-07,UPI/Big Basket/Grocery,2205.17,debit,UPI,HDFC Savings,Groceries,Big Basket
2025-01-07,UPI/BMTC/Bus Ticket,20.82,debit,UPI,SBI Savings,Travel,BMTC
2025-01-07,Subscription/YouTube Premium,189.0,debit,Credit Card,HDFC Credit Card,Entertainment,YouTube Premium
2025-01-07,Mobile Recharge/Jio,297.9,debit,UPI,HDFC Savings,Utilities,Jio
2025-01-07,UPI/Starbucks/Order,396.15,debit,UPI,SBI Savings,Food & Dining,Starbucks
2025-01-07,UPI/Uber/Pay,110.25,debit,UPI,SBI Savings,Travel,Uber
2025-01-07,UPI/Namma Yatri/Purchase,287.28,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-07,UPI/UPI Misc 4/Quick Pay,146.03,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 4
2025-01-07,UPI/Ola/Purchase,511.32,debit,UPI,SBI Savings,Travel,Ola
2025-01-08,UPI/McDonald's/Quick Bite,162.92,debit,UPI,HDFC Savings,Food & Dining,McDonald's
2025-01-08,Tata Cliq/Online Purchase,4148.68,debit,UPI,SBI Savings,Shopping,Tata Cliq
2025-01-08,Flipkart/Online Purchase,5910.03,debit,UPI,HDFC Savings,Shopping,Flipkart
2025-01-08,UPI/BMTC/Bus Ticket,28.04,debit,UPI,SBI Savings,Travel,BMTC
2025-01-08,UPI/Received/Ankit J,1633.72,credit,UPI,HDFC Savings,Transfers,Ankit J
2025-01-08,UPI/Swiggy/Pay,495.85,debit,UPI,HDFC Savings,Food & Dining,Swiggy
2025-01-08,UPI/Namma Yatri/Quick Pay,95.67,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-08,UPI/McDonald's/Order,72.4,debit,UPI,SBI Savings,Food & Dining,McDonald's
2025-01-08,UPI/Swiggy Instamart/Pay,311.44,debit,UPI,HDFC Savings,Food & Dining,Swiggy Instamart
2025-01-08,UPI/Namma Yatri/Quick Pay,233.91,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-08,UPI/Shell/Pay,3411.95,debit,UPI,SBI Savings,Miscellaneous,Shell
2025-01-08,UPI/Reliance Fresh/Pay,671.98,debit,UPI,HDFC Savings,Groceries,Reliance Fresh
2025-01-08,UPI/UPI Misc 2/Quick Pay,292.43,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 2
2025-01-09,UPI/Rapido/Ride,224.87,debit,UPI,SBI Savings,Travel,Rapido
2025-01-09,UPI/Rapido/Ride,88.41,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-09,UPI/BMTC/Bus Ticket,46.23,debit,UPI,SBI Savings,Travel,BMTC
2025-01-09,Bill/Piped Gas (IGL),564.63,debit,UPI,SBI Savings,Utilities,Piped Gas (IGL)
2025-01-09,UPI/Dunzo/Quick Pay,102.85,debit,UPI,SBI Savings,Food & Dining,Dunzo
2025-01-09,UPI/Uber/Purchase,280.36,debit,UPI,HDFC Savings,Travel,Uber
2025-01-09,UPI/UPI Misc 2/Order,219.11,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 2
2025-01-10,Personal Loan EMI - ICICI Bank PL2024,6200.0,debit,EMI,HDFC Savings,EMI,ICICI Bank
2025-01-10,UPI/Dunzo/Quick Bite,171.88,debit,UPI,SBI Savings,Food & Dining,Dunzo
2025-01-10,UPI/Ola/Ride,425.26,debit,UPI,SBI Savings,Travel,Ola
2025-01-10,UPI/Spencer's/Purchase,593.01,debit,UPI,SBI Savings,Groceries,Spencer's
2025-01-10,UPI/Haldiram's/Pay,43.11,debit,UPI,SBI Savings,Food & Dining,Haldiram's
2025-01-10,UPI/Swiggy Instamart/Quick Pay,179.05,debit,UPI,HDFC Savings,Food & Dining,Swiggy Instamart
2025-01-10,UPI/Zomato/Order,453.68,debit,UPI,SBI Savings,Food & Dining,Zomato
2025-01-10,UPI/Haldiram's/Quick Pay,322.95,debit,UPI,SBI Savings,Food & Dining,Haldiram's
2025-01-10,UPI/Rapido/Order,137.25,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-10,UPI/Starbucks/Order,336.21,debit,UPI,SBI Savings,Food & Dining,Starbucks
2025-01-11,UPI/Namma Yatri/Ride,66.89,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-11,ATM Withdrawal - HDFC Bank,5047.24,debit,Cash,HDFC Savings,Cash Withdrawal,HDFC ATM
2025-01-11,UPI/GiveIndia/Donation,1921.5,debit,UPI,SBI Savings,Miscellaneous,GiveIndia
2025-01-11,UPI/BPCL/Purchase,2820.58,debit,UPI,HDFC Savings,Miscellaneous,BPCL
2025-01-11,UPI/DMart/Order,800.0,debit,UPI,HDFC Savings,Groceries,DMart
2025-01-11,UPI/Spencer's/Purchase,360.6,debit,UPI,SBI Savings,Groceries,Spencer's
2025-01-12,UPI/Rapido/Ride,187.6,debit,UPI,SBI Savings,Travel,Rapido
2025-01-12,UPI/Namma Yatri/Pay,116.59,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-12,UPI/Rapido/Pay,32.6,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-12,UPI/Dunzo/Pay,319.48,debit,UPI,SBI Savings,Food & Dining,Dunzo
2025-01-12,UPI/HP Petrol Pump/Quick Pay,892.15,debit,UPI,HDFC Savings,Miscellaneous,HP Petrol Pump
2025-01-12,UPI/UPI Misc 4/Order,168.82,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 4
2025-01-12,UPI/Namma Yatri/Purchase,38.95,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-12,UPI/Dunzo/Order,102.16,debit,UPI,SBI Savings,Food & Dining,Dunzo
2025-01-12,UPI/Domino's/Order,664.76,debit,UPI,HDFC Savings,Food & Dining,Domino's
2025-01-13,UPI/UPI Misc 4/Pay,297.08,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 4
2025-01-13,UPI/Rapido/Order,102.66,debit,UPI,SBI Savings,Travel,Rapido
2025-01-13,UPI/Uber/Order,123.67,debit,UPI,SBI Savings,Travel,Uber
2025-01-13,UPI/Subway/Quick Pay,348.81,debit,UPI,SBI Savings,Food & Dining,Subway
2025-01-13,UPI/KFC/Order,305.48,debit,UPI,SBI Savings,Food & Dining,KFC
2025-01-13,UPI/Big Basket/Pay,736.33,debit,UPI,HDFC Savings,Groceries,Big Basket
2025-01-13,UPI/Spencer's/Purchase,746.51,debit,UPI,HDFC Savings,Groceries,Spencer's
2025-01-13,UPI/Uber/Pay,39.71,debit,UPI,SBI Savings,Travel,Uber
2025-01-13,UPI/Swiggy/Quick Pay,318.61,debit,UPI,HDFC Savings,Food & Dining,Swiggy
2025-01-13,UPI/Dunzo/Order,157.35,debit,UPI,HDFC Savings,Food & Dining,Dunzo
2025-01-13,UPI/UPI Misc 2/Quick Pay,108.39,debit,UPI,HDFC Savings,Miscellaneous,UPI Misc 2
2025-01-14,Nykaa/Online Purchase,1800.74,debit,UPI,SBI Savings,Shopping,Nykaa
2025-01-14,UPI/BPCL/Purchase,1319.65,debit,UPI,SBI Savings,Miscellaneous,BPCL
2025-01-14,UPI/Rapido/Pay,44.03,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-14,UPI/Cafe Coffee Day/Pay,60.15,debit,UPI,SBI Savings,Food & Dining,Cafe Coffee Day
2025-01-14,UPI/Uber/Order,80.37,debit,UPI,HDFC Savings,Travel,Uber
2025-01-15,Term Insurance Premium - LIC,14500.0,debit,NEFT,HDFC Savings,Insurance,LIC
2025-01-15,UPI/Blinkit/Food Order,574.1,debit,UPI,HDFC Savings,Food & Dining,Blinkit
2025-01-15,UPI/Subway/Food Order,324.78,debit,UPI,SBI Savings,Food & Dining,Subway
2025-01-15,UPI/Namma Yatri/Ride,164.54,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-15,UPI/Indian Oil/Fuel,3335.71,debit,UPI,SBI Savings,Fuel,Indian Oil
2025-01-15,Udemy/Online Course,1708.98,debit,Credit Card,HDFC Credit Card,Education,Udemy
2025-01-15,Credit Card Bill Payment - HDFC CC,26555.21,debit,NEFT,HDFC Savings,Transfers,HDFC Credit Card
2025-01-15,UPI/UPI Misc 2/Purchase,144.97,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 2
2025-01-15,UPI/Swiggy/Pay,565.75,debit,UPI,HDFC Savings,Food & Dining,Swiggy
2025-01-15,UPI/UPI Misc 0/Quick Pay,128.64,debit,UPI,SBI Savings,Miscellaneous,UPI Misc 0
2025-01-15,UPI/DMart/Pay,800.0,debit,UPI,SBI Savings,Groceries,DMart
2025-01-16,Nykaa/Online Purchase,949.39,debit,UPI,SBI Savings,Shopping,Nykaa
2025-01-16,UPI/Ola/Ride,190.3,debit,UPI,SBI Savings,Travel,Ola
2025-01-16,UPI/Ola/Order,167.67,debit,UPI,HDFC Savings,Travel,Ola
2025-01-16,UPI/Spencer's/Pay,543.11,debit,UPI,SBI Savings,Groceries,Spencer's
2025-01-16,UPI/Cafe Coffee Day/Order,299.26,debit,UPI,SBI Savings,Food & Dining,Cafe Coffee Day
2025-01-16,UPI/Swiggy/Quick Pay,162.36,debit,UPI,SBI Savings,Food & Dining,Swiggy
2025-01-16,UPI/HP Petrol Pump/Order,3077.04,debit,UPI,HDFC Savings,Miscellaneous,HP Petrol Pump
2025-01-17,UPI/Uber/Ride,620.4,debit,UPI,HDFC Savings,Travel,Uber
2025-01-17,UPI/Ola/Pay,177.4,debit,UPI,SBI Savings,Travel,Ola
2025-01-17,UPI/Ola/Quick Pay,230.07,debit,UPI,SBI Savings,Travel,Ola
2025-01-17,UPI/Swiggy/Quick Pay,625.88,debit,UPI,SBI Savings,Food & Dining,Swiggy
2025-01-17,UPI/Ola/Purchase,428.32,debit,UPI,HDFC Savings,Travel,Ola
2025-01-17,UPI/Rapido/Pay,185.22,debit,UPI,HDFC Savings,Travel,Rapido
2025-01-17,UPI/KFC/Quick Pay,209.23,debit,UPI,HDFC Savings,Food & Dining,KFC
2025-01-17,UPI/Cafe Coffee Day/Order,334.32,debit,UPI,HDFC Savings,Food & Dining,Cafe Coffee Day
2025-01-17,UPI/Namma Yatri/Pay,200.68,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-18,UPI/Namma Yatri/Ride,187.42,debit,UPI,SBI Savings,Travel,Namma Yatri
2025-01-18,UPI/Pay/Priya K,136.97,debit,UPI,SBI Savings,Transfers,Priya K
2025-01-18,UPI/Uber/Order,647.21,debit,UPI,SBI Savings,Travel,Uber
2025-01-18,UPI/Uber/Pay,85.12,debit,UPI,HDFC Savings,Travel,Uber
2025-01-18,UPI/Cafe Coffee Day/Purchase,123.85,debit,UPI,SBI Savings,Food & Dining,Cafe Coffee Day
2025-01-18,UPI/Haldiram's/Purchase,84.62,debit,UPI,SBI Savings,Food & Dining,Haldiram's
2025-01-18,UPI/DMart/Pay,800.0,debit,UPI,HDFC Savings,Groceries,DMart
2025-01-18,UPI/Namma Yatri/Purchase,276.06,debit,UPI,HDFC Savings,Travel,Namma Yatri
2025-01-19,Subscription/Amazon Prime,179.0,debit,Credit Card,HDFC Credit Card,Entertainment,Amazon Prime
2025-01-19,ATM Withdrawal - HDFC Bank,6386.85,debit,Cash,HDFC Savings,Cash Withdrawal,HDFC ATM
2025-01-19,UPI/Domino's/Order,576.18,debit,UPI,HDFC Savings,Food & Dining,Domino's
2025-01-19,UPI/Domino's/Pay,40.28,debit,UPI,HDFC Savings,Food & Dining,Domino's
2025-01-20,Health Insurance - Star Health Annual,12800.0,debit,NEFT,HDFC Savings,Insurance,Star Health
2025-01-20,UPI/Cafe Coffee Day/Food Order,126.1,debit,UPI,HDFC Savings,Food & Dining,Cafe Coffee Day
2025-01-20,UPI/McDonald's/Food Order,259.36,debit,UPI,HDFC Savings,Food & Dining,McDonald's
2025-01-20,ATM Withdrawal - HDFC Bank,6244.45,debit,Cash,HDFC Savings,Cash Withdrawal,HDFC ATM
2025-01-20,UPI/Haldiram's/Pay,245.71,debit,UPI,HDFC Savings,Food & Dining,Haldiram's
2025-01-20,UPI/Big Basket/Order,640.22,debit,UPI,HDFC Savings,Groceries,Big Basket
2025-01-20,UPI/Zomato/Order,352.82,debit,UPI,SBI Savings,Food & Dining,Zomato
2025-01-20,UPI/Spencer's/Quick Pay,647.39,debit,UPI,SBI Savings,Groceries,Spencer's
2025-01-20,UPI/Uber/Quick Pay,475.14,debit,UPI,HDFC Savings,Travel,Uber
2025-01-21,UPI/Subway/Food Order,369.36,debit,UPI,SBI Savings,Food & Dining,Subway
2025-01-21,UPI/Namma Yatri/Ride,230.84,debit,UPI,SBI Savings,Travel,Namma Yatri
